full_name,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
   433 Eros (A898 PA),AMO,Y,N,10.39,16.84,0.25,5.27,0.0004463,2.67,0.2228,1.458,1.133,10.83,304.27,178.93,310.55,0.5598,643.0,0.148,0.0,9130
   887 Alinda (A918 AA),AMO,Y,N,13.82,4.2,0.31,28.41,,,0.5712,2.474,1.061,9.4,110.41,350.53,81.54,0.2533,1420.0,0.0797,0.0,5886
  1036 Ganymed (A924 UB),AMO,Y,N,9.17,37.675,0.238,10.297,,,0.5332,2.665,1.244,26.68,215.44,132.5,97.59,0.2266,1590.0,0.343,0.0,13597
  1221 Amor (1932 EA1),AMO,Y,N,17.37,1.0,,,,,0.4346,1.92,1.085,11.87,171.24,26.76,59.87,0.3705,972.0,0.108,0.0,686
  1566 Icarus (1949 MA),APO,Y,Y,16.53,1.0,0.51,2.2726,,,0.827,1.078,0.186,22.8,87.95,31.44,153.08,0.8805,409.0,0.0335,0.0,1792
  1580 Betulia (1950 KA),AMO,Y,N,14.54,5.8,0.08,6.1324,,,0.4876,2.195,1.125,52.19,62.22,159.72,80.27,0.3031,1190.0,0.132,0.0,2249
  1620 Geographos (1951 RA),APO,Y,Y,15.26,2.56,0.29,5.22204,,,0.3355,1.246,0.828,13.34,337.14,277.02,212.92,0.7088,508.0,0.0294,0.0,9291
  1627 Ivar (1929 SH),AMO,Y,N,12.79,9.12,0.15,4.795,,,0.3973,1.863,1.123,8.46,133.07,167.84,311.46,0.3876,929.0,0.109,0.0,14439
  1685 Toro (1948 OA),APO,Y,N,14.28,3.4,0.31,10.1995,,,0.436,1.368,0.771,9.38,274.21,127.28,82.68,0.6161,584.0,0.0511,0.0,5345
  1862 Apollo (1932 HA),APO,Y,Y,16.09,1.5,0.25,3.065,,,0.5599,1.471,0.647,6.35,35.54,286.05,113.88,0.5525,652.0,0.026,0.0,3695
  1863 Antinous (1948 EA),APO,Y,N,15.35,2.1,0.24,7.453,,,0.6063,2.26,0.89,18.38,345.55,269.07,289.56,0.2901,1240.0,0.187,0.0,1916
  1864 Daedalus (1971 FA),APO,Y,N,14.83,3.7,0.273,8.572,,,0.6144,1.461,0.563,22.22,6.6,325.66,257.57,0.5582,645.0,0.269,0.0,6597
  1865 Cerberus (1971 UA),APO,Y,N,16.77,1.2,0.22,6.8039,,,0.4669,1.08,0.576,16.1,212.88,325.29,319.67,0.8782,410.0,0.157,0.0,2494
  1866 Sisyphus (1972 XA),APO,Y,N,12.48,8.48,0.15,2.4,,,0.5381,1.893,0.875,41.21,63.45,293.1,140.66,0.3783,952.0,0.104,0.0,10280
  1915 Quetzalcoatl (1953 EA),AMO,Y,N,18.38,0.5,0.21,4.9,,,0.5702,2.545,1.094,20.4,162.92,347.76,21.62,0.2428,1480.0,0.109,0.0,55
  1916 Boreas (1953 RA),AMO,Y,N,14.93,3.5,,3.4746,,,0.4492,2.273,1.252,12.88,340.6,335.85,35.11,0.2877,1250.0,0.252,0.0,4168
  1917 Cuyo (1968 AA),AMO,Y,N,14.38,5.7,0.195,2.689,,,0.5055,2.149,1.063,23.96,188.27,194.55,160.09,0.3128,1150.0,0.0717,0.0,4260
  1943 Anteros (1973 EC),AMO,Y,N,15.68,2.3,0.17,2.86923,,,0.2559,1.431,1.064,8.71,246.29,338.44,260.37,0.576,625.0,0.0609,0.0,6620
  1980 Tezcatlipoca (1950 LA),AMO,Y,N,13.8,4.3,0.25,7.24612,,,0.3647,1.709,1.086,26.87,246.54,115.47,211.5,0.441,816.0,0.245,0.0,8408
  1981 Midas (1973 EA),APO,Y,Y,15.28,3.4,,5.22,,,0.6505,1.776,0.621,39.82,356.79,267.84,65.35,0.4163,865.0,0.00277,0.0,2498
  2061 Anza (1960 UA),AMO,Y,N,16.7,2.6,,6.712,,,0.5356,2.265,1.052,3.8,207.35,157.11,38.89,0.2891,1250.0,0.0558,0.0,2041
  2062 Aten (1976 AA),ATE,Y,N,17.11,1.1,0.26,42.15,,,0.1829,0.967,0.79,18.94,108.53,148.08,32.64,1.037,347.0,0.113,0.0,1024
  2063 Bacchus (1977 HB),APO,Y,N,17.21,1.024,0.203,14.904,,,0.3494,1.078,0.701,9.43,33.04,55.35,234.79,0.8806,409.0,0.0667,0.0,1561
  2100 Ra-Shalom (1978 RA),ATE,Y,N,16.24,2.3,0.13,19.797,,,0.4365,0.832,0.469,15.76,170.76,356.08,249.11,1.299,277.0,0.15,0.0,4167
  2101 Adonis (1936 CA),APO,Y,Y,18.69,0.6,,,,,0.7641,1.874,0.442,1.32,349.41,43.71,24.48,0.3842,937.0,0.0115,0.0,149
  2102 Tantalus (1975 YA),APO,Y,Y,16.0,1.649,0.245,2.384,,,0.2994,1.29,0.904,64.01,94.35,61.5,347.36,0.6726,535.0,0.0426,0.0,2284
  2201 Oljato (1947 XC),APO,Y,Y,15.32,1.8,0.4328,26.0,,,0.7107,2.179,0.63,2.52,74.86,98.37,97.01,0.3065,1170.0,0.00278,0.0,1861
  2212 Hephaistos (1978 SB),APO,Y,N,13.45,5.7,0.163,48.0,,,0.8347,2.168,0.358,11.2,26.57,210.46,308.24,0.3088,1170.0,0.112,0.0,5177
  2340 Hathor (1976 UA),ATE,Y,Y,20.41,0.3,,3.35,,,0.4499,0.8439,0.464,5.86,211.28,40.12,201.98,1.271,283.0,0.00663,0.0,572
  2368 Beltrovata (1977 RA),AMO,Y,N,15.18,2.3,0.27,5.786,,,0.4134,2.105,1.235,5.22,287.29,43.05,287.81,0.3228,1120.0,0.231,0.0,2823
  2608 Seneca (1978 DA),AMO,Y,N,17.48,0.9,0.21,8.0,,,0.5647,2.53,1.102,14.43,166.42,38.71,10.72,0.2449,1470.0,0.153,1.0,83
  3102 Krok (1981 QA),AMO,Y,N,16.16,1.6,,149.4,,,0.4492,2.151,1.185,8.44,172.05,154.75,6.75,0.3124,1150.0,0.183,0.0,2950
  3103 Eger (1982 BB),APO,Y,N,15.3,1.5,0.64,5.7103,,,0.3542,1.404,0.907,20.93,129.73,254.1,181.12,0.5925,608.0,0.0786,0.0,8675
