id,name,nasaJplUrl,absoluteMagnitude,estimatedDiameterMinKm,estimatedDiameterMaxKm,isPotentiallyHazardous,isSentryObject,closeApproachDate,closeApproachVelocityKmh,missDistanceKm,orbitingBody,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
2001620,1620 Geographos (1951 RA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001620,15.26,2.35806068,5.2727839755,True,False,1901-08-23,42346.1219923274,5071250.822425447,Earth,APO,Y,Y,15.26,2.56,0.29,5.22204,,,0.3355,1.246,0.828,13.34,337.14,277.02,212.92,0.7088,508.0,0.0294,0.0,9291
2001863,1863 Antinous (1948 EA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001863,15.35,2.2623249055,5.058712276,False,False,1907-10-11,65086.2510865704,13378704.031489097,Mars,APO,Y,N,15.35,2.1,0.24,7.453,,,0.6063,2.26,0.89,18.38,345.55,269.07,289.56,0.2901,1240.0,0.187,0.0,1916
2001915,1915 Quetzalcoatl (1953 EA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001915,18.38,0.5604733623,1.2532565376,False,False,1906-03-06,54435.5501077667,3789658.286758657,Earth,AMO,Y,N,18.38,0.5,0.21,4.9,,,0.5702,2.545,1.094,20.4,162.92,347.76,21.62,0.2428,1480.0,0.109,0.0,55
2001917,1917 Cuyo (1968 AA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001917,14.38,3.536347843,7.907514169,False,False,1926-09-28,54844.1631468403,16872241.42782752,Earth,AMO,Y,N,14.38,5.7,0.195,2.689,,,0.5055,2.149,1.063,23.96,188.27,194.55,160.09,0.3128,1150.0,0.0717,0.0,4260
2002063,2063 Bacchus (1977 HB),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002063,17.21,0.9606274149,2.1480282008,False,False,1903-03-06,37400.8037755259,9959874.764243584,Venus,APO,Y,N,17.21,1.024,0.203,14.904,,,0.3494,1.078,0.701,9.43,33.04,55.35,234.79,0.8806,409.0,0.0667,0.0,1561
2002100,2100 Ra-Shalom (1978 RA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002100,16.24,1.5016024791,3.3576852183,False,False,1906-12-24,64782.4637706833,12234214.413167575,Merc,ATE,Y,N,16.24,2.3,0.13,19.797,,,0.4365,0.832,0.469,15.76,170.76,356.08,249.11,1.299,277.0,0.15,0.0,4167
2002102,2102 Tantalus (1975 YA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002102,16.0,1.6770846216,3.750075218,True,False,1912-12-23,122044.0248632747,10979849.692146514,Earth,APO,Y,Y,16.0,1.649,0.245,2.384,,,0.2994,1.29,0.904,64.01,94.35,61.5,347.36,0.6726,535.0,0.0426,0.0,2284
2002201,2201 Oljato (1947 XC),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002201,15.32,2.29379698,5.1290859738,True,False,1903-06-18,91244.2564079327,25845171.905392267,Earth,APO,Y,Y,15.32,1.8,0.4328,26.0,,,0.7107,2.179,0.63,2.52,74.86,98.37,97.01,0.3065,1170.0,0.00278,0.0,1861
2002340,2340 Hathor (1976 UA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002340,20.41,0.2200670271,0.4920848322,True,False,1901-07-04,62969.6371285868,11911205.968456928,Merc,ATE,Y,Y,20.41,0.3,,3.35,,,0.4499,0.8439,0.464,5.86,211.28,40.12,201.98,1.271,283.0,0.00663,0.0,572
2000887,887 Alinda (A918 AA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2000887,13.82,4.5767266723,10.2338719537,False,False,1974-01-04,25545.5052610523,20461808.703836128,Earth,AMO,Y,N,13.82,4.2,0.31,28.41,,,0.5712,2.474,1.061,9.4,110.41,350.53,81.54,0.2533,1420.0,0.0797,0.0,5886
2001627,1627 Ivar (1929 SH),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001627,12.79,7.3545308935,16.4452310205,False,False,1929-07-19,23579.5333152807,24911350.704977863,Earth,AMO,Y,N,12.79,9.12,0.15,4.795,,,0.3973,1.863,1.123,8.46,133.07,167.84,311.46,0.3876,929.0,0.109,0.0,14439
2001916,1916 Boreas (1953 RA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001916,14.93,2.7450798165,6.1381850734,False,False,,,,,AMO,Y,N,14.93,3.5,,3.4746,,,0.4492,2.273,1.252,12.88,340.6,335.85,35.11,0.2877,1250.0,0.252,0.0,4168
2001943,1943 Anteros (1973 EC),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001943,15.68,1.9433676839,4.3455022465,False,False,1937-05-28,25928.3276243134,18431534.18003124,Earth,AMO,Y,N,15.68,2.3,0.17,2.86923,,,0.2559,1.431,1.064,8.71,246.29,338.44,260.37,0.576,625.0,0.0609,0.0,6620
2002101,2101 Adonis (1936 CA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002101,18.69,0.4859090375,1.0865256386,True,False,1902-07-16,69587.3878906057,28140949.153484065,Earth,APO,Y,Y,18.69,0.6,,,,,0.7641,1.874,0.442,1.32,349.41,43.71,24.48,0.3842,937.0,0.0115,0.0,149
2000433,433 Eros (A898 PA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2000433,10.39,22.2103282246,49.6638037128,False,False,1900-12-27,20083.0290749201,47112732.928149395,Earth,AMO,Y,N,10.39,16.84,0.25,5.27,0.0004463,2.67,0.2228,1.458,1.133,10.83,304.27,178.93,310.55,0.5598,643.0,0.148,0.0,9130
2001036,1036 Ganymed (A924 UB),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001036,9.17,38.9542616126,87.1043769791,False,False,1910-02-25,22693.9188072925,292651826.1433621,Juptr,AMO,Y,N,9.17,37.675,0.238,10.297,,,0.5332,2.665,1.244,26.68,215.44,132.5,97.59,0.2266,1590.0,0.343,0.0,13597
2001685,1685 Toro (1948 OA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001685,14.28,3.7030107822,8.2801838305,False,False,1908-08-04,58086.2958387757,26483636.825059798,Earth,APO,Y,N,14.28,3.4,0.31,10.1995,,,0.436,1.368,0.771,9.38,274.21,127.28,82.68,0.6161,584.0,0.0511,0.0,5345
2001980,1980 Tezcatlipoca (1950 LA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001980,13.8,4.6190746028,10.328564805,False,False,,,,,AMO,Y,N,13.8,4.3,0.25,7.24612,,,0.3647,1.709,1.086,26.87,246.54,115.47,211.5,0.441,816.0,0.245,0.0,8408
2002062,2062 Aten (1976 AA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002062,17.11,1.0059003902,2.249261651,False,False,1900-01-19,40567.7550002054,18835343.845160324,Earth,ATE,Y,N,17.11,1.1,0.26,42.15,,,0.1829,0.967,0.79,18.94,108.53,148.08,32.64,1.037,347.0,0.113,0.0,1024
2001221,1221 Amor (1932 EA1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001221,17.37,0.8923905787,1.9954459964,False,False,1908-03-14,38772.6266119612,27512874.49403824,Earth,AMO,Y,N,17.37,1.0,,,,,0.4346,1.92,1.085,11.87,171.24,26.76,59.87,0.3705,972.0,0.108,0.0,686
