id,name,nasaJplUrl,absoluteMagnitude,estimatedDiameterMinKm,estimatedDiameterMaxKm,isPotentiallyHazardous,isSentryObject,closeApproachDate,closeApproachVelocityKmh,missDistanceKm,orbitingBody
2001620,1620 Geographos (1951 RA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001620,15.26,2.35806068,5.2727839755,True,False,1901-08-23,42346.1219923274,5071250.822425447,Earth
2001863,1863 Antinous (1948 EA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001863,15.35,2.2623249055,5.058712276,False,False,1907-10-11,65086.2510865704,13378704.031489097,Mars
2001915,1915 Quetzalcoatl (1953 EA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001915,18.38,0.5604733623,1.2532565376,False,False,1906-03-06,54435.5501077667,3789658.286758657,Earth
2001917,1917 Cuyo (1968 AA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001917,14.38,3.536347843,7.907514169,False,False,1926-09-28,54844.1631468403,16872241.427827521,Earth
2002063,2063 Bacchus (1977 HB),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002063,17.21,0.9606274149,2.1480282008,False,False,1903-03-06,37400.8037755259,9959874.764243583,Venus
2002100,2100 Ra-Shalom (1978 RA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002100,16.24,1.5016024791,3.3576852183,False,False,1906-12-24,64782.4637706833,12234214.413167575,Merc
2002102,2102 Tantalus (1975 YA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002102,16.0,1.6770846216,3.750075218,True,False,1912-12-23,122044.0248632747,10979849.692146514,Earth
2002201,2201 Oljato (1947 XC),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002201,15.32,2.29379698,5.1290859738,True,False,1903-06-18,91244.2564079327,25845171.905392267,Earth
2002340,2340 Hathor (1976 UA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002340,20.41,0.2200670271,0.4920848322,True,False,1901-07-04,62969.6371285868,11911205.968456928,Merc
2000719,719 Albert (A911 TB),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2000719,15.59,2.0256060086,4.529392731,False,False,1909-08-21,12405.7041350431,255628988.036048565,Juptr
