full_name,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
     1 Ceres (A801 AA),MBA,N,N,3.35,939.4,0.09,9.07417,62.6284,2.162,0.0796,2.766,2.546,10.59,80.25,73.3,231.54,0.2143,1680.0,1.58,0,1075
     2 Pallas (A802 FA),MBA,N,N,4.11,513.0,0.155,7.8132214,13.63,2.89,0.2306,2.77,2.131,34.93,172.89,310.93,211.53,0.2138,1680.0,1.23,0,9766
     3 Juno (A804 RA),MBA,N,N,5.19,246.596,0.214,7.21,,,0.2558,2.671,1.988,12.99,169.82,247.88,217.59,0.2258,1590.0,1.04,0,8337
     4 Vesta (A807 FA),MBA,N,N,3.25,522.77,0.4228,5.3421276322,17.2882844,3.46,0.0902,2.362,2.149,7.14,103.7,151.54,26.81,0.2716,1330.0,1.13,0,9451
     5 Astraea (A845 XA),MBA,N,N,6.96,106.699,0.274,16.806,,,0.1875,2.577,2.094,5.36,141.45,359.35,133.87,0.2383,1510.0,1.11,0,4395
     6 Hebe (A847 NA),MBA,N,N,5.61,185.18,0.2679,7.2745,,,0.2022,2.425,1.935,14.74,138.61,239.7,352.56,0.2609,1380.0,0.976,0,6754
     7 Iris (A847 PA),MBA,N,N,5.68,199.83,0.2766,7.139,,,0.2302,2.387,1.837,5.52,259.49,145.48,61.73,0.2673,1350.0,0.849,0,5927
     8 Flora (A847 UA),MBA,N,N,6.62,147.491,0.226,12.865,,,0.1563,2.201,1.857,5.89,110.84,285.43,198.9,0.3018,1190.0,0.874,0,3564
     9 Metis (A848 HA),MBA,N,N,6.18,190.0,0.118,5.079,,,0.1226,2.387,2.094,5.58,68.87,5.9,199.2,0.2673,1350.0,1.11,0,4122
    10 Hygiea (A849 GA),MBA,N,N,5.65,407.12,0.0717,13.828,7.0,,0.1082,3.148,2.807,3.83,283.12,312.61,216.69,0.1765,2040.0,1.8,0,5158
    11 Parthenope (A850 JA),MBA,N,N,6.73,142.887,0.191,13.7204,,,0.1005,2.453,2.207,4.64,125.47,196.42,173.66,0.2565,1400.0,1.19,0,10549
    12 Victoria (A850 RA),MBA,N,N,7.29,115.087,0.163,8.6599,,,0.2199,2.334,1.821,8.37,235.35,69.55,76.94,0.2764,1300.0,0.824,0,4385
    13 Egeria (A850 VA),MBA,N,N,6.91,202.636,0.049,7.045,,,0.0847,2.576,2.358,16.53,43.18,79.06,40.99,0.2384,1510.0,1.44,0,3815
    14 Irene (A851 KA),MBA,N,N,6.55,152.0,0.159,15.028,,,0.1627,2.588,2.167,9.13,86.01,98.27,12.93,0.2367,1520.0,1.19,0,3688
    15 Eunomia (A851 OA),MBA,N,N,5.43,231.689,0.248,6.083,,,0.1878,2.642,2.146,11.76,292.88,98.51,113.73,0.2295,1570.0,1.19,0,5316
    16 Psyche (A852 FA),MBA,N,N,6.2,222.0,0.1203,4.196,1.601,4.172,0.1343,2.923,2.531,3.1,150.01,229.75,40.64,0.1972,1830.0,1.53,0,7401
    17 Thetis (A852 HA),MBA,N,N,7.92,84.899,0.193,12.27048,,,0.1313,2.473,2.148,5.59,125.5,135.95,192.66,0.2535,1420.0,1.14,0,11559
    18 Melpomene (A852 MA),MBA,N,N,6.35,139.594,0.181,11.57,,,0.218,2.296,1.795,10.13,150.33,228.05,227.26,0.2834,1270.0,0.812,0,6736
    19 Fortuna (A852 QA),MBA,N,N,7.49,200.0,0.037,7.4432,,,0.158,2.442,2.056,1.57,211.0,182.52,96.5,0.2583,1390.0,1.06,0,9571
    20 Massalia (A852 SA),MBA,N,N,6.54,135.68,0.241,8.098,,,0.1438,2.408,2.062,0.71,205.95,257.23,30.0,0.2637,1370.0,1.08,0,10301
